ISIN,Company Long Name,Company Secretary
INE666E01012,Andhra Cements Limited,investorcell@andhracements.com
INE715B01013,The Andhra Sugars Limited,investors@theandhrasugars.com
INE017D01010,ANG Industries Limited,rmalik@anggroup.biz
INE087B01017,Anik Industries Limited,anik@anikgroup.com
INE106I01010,Ankit Metal & Power Limited,cs@ankitmetal.com
INE880B01015,Ansal Housing and Construction Limited,sect@ansals.com
INE436A01026,Ansal Properties & Infrastructure Limited,shareholderservices@ansalapi.com
INE414B01021,Antarctica Limited,NO MATCH
INE116A01024,Apcotex Industries Limited,redressal@apcotex.com
INE702C01019,APL Apollo Tubes Limited,investors@aplapollo.com
INE273A01015,Aplab Limited,shares@aplab.com
INE437A01024,Apollo Hospitals Enterprise Limited,investor.relations@apollohospitals.com
INE438A01022,Apollo Tyres Limited,investors@apollotyres.com
INE266F01018,Aptech Limited,investors_relations@aptech.ac.in
INE877I01016,Archidply Industries Limited,rsharma@archidply.com
INE731A01020,Archies Limited,vikas.tak@archiesonline.com
INE574I01027,Arcotech Limited,investors@arcotech.in
INE298I01015,Aries Agro Limited,investorrelations@ariesagro.com
INE413D01011,Arihant Foundations & Housing Limited,investors@arihants.co.in
INE210C01013,Aro Granite Industries Limited,arodelhi@arotile.com
INE933J01015,Arrow Textiles Limited,secretarial@arrowtextiles.com
INE968D01022,Arshiya Limited,grv.redressal@arshiyainternational.com
INE267I01010,ARSS Infrastructure Projects Limited,investorgrievance@arssgroup.in
INE034A01011,Arvind Limited,investor@arvind.com
INE211C01037,Arvind Remedies Limited,cs@arvindremedies.com
INE439A01020,Asahi India Glass Limited,investorrelations@aisglass.com
INE228I01012,Asahi Songwon Colors Limited,cs@asahisongwon.com
INE348A01023,Ashapura Minechem Limited,cosec@ashapura.com
INE365D01021,Ashiana Housing Limited,investorrelations@ashianahousing.com
INE440A01010,Ashima Limited,texcellence@ashimagroup.com
INE208A01029,Ashok Leyland Limited,secretarial@ashokleyland.com
INE442H01029,Ashoka Buildcon Limited,investors@ashokabuildcon.com
INE441A01026,Asian Electronics Limited,secdept@aelgroup.com
INE022I01019,Asian Granito India Limited,cs@aglasiangranito.com
INE926K01017,Asian Hotels (East) Limited,saumen.chatterjee@ahleast.com
INE363A01022,Asian Hotels (North) Limited,investorrelations@asianhotelslimited.in
INE915K01010,Asian Hotels (West) Limited,nikhil.sethi@asianhotelswest.com
INE021A01026,Asian Paints Limited,investor.relations@asianpaints.com
INE442A01024,Assam Company India Limited,greenwood@assamco.com
INE563J01010,Astec LifeSciences Limited,ipo@astecls.com
INE386C01029,Astra Microwave Products Limited,tan@astramwp.com
INE006I01038,Astral Poly Technik Limited,"investor@astralcpvc.com, co@astralcpvc.com"
INE203A01020,AstraZeneca Pharma India Limited,comp.secy@astrazeneca.com
INE285H01022,Atlanta  Limited,investors@atlantainfra.com
INE446A01017,Atlas Cycles (Haryana) Limited,companylaw@atlascyclesonepat.com
INE803A01027,ATN International Limited,info@atninternational.co.in
INE100A01010,Atul Limited,sec@atul.co.in
INE951D01010,Atul Auto Limited,investorrelations@atulauto.co.in
INE132H01018,Aurionpro Solutions Limited,investor@aurionpro.com
INE406A01037,Aurobindo Pharma Limited,investorgrievances@aurobindo.com
INE218C01016,Ausom Enterprise Limited,investorcomplaints@gmail.com
INE718H01014,Autoline Industries Limited,investorservices@autolineind.com
INE448A01013,Autolite (India) Limited,investors@autopal.com
INE449A01011,Automotive Axles Limited,Sec@autoaxle.com
INE900C01027,Automotive Stampings and Assemblies Limited,cs@autostampings.com
INE871C01012,Avanti Feeds Limited,avantiho@avantifeeds.com
INE488D01021,AVT Natural Products Limited,shareholder@avtnatural.com
INE238A01026,Axis Bank Limited,p.oza@axisbank.com
INE555B01013,Axis-IT&T Limited,secretary@axisitt.com
INE257A01026,Bharat Heavy Electricals Limited,inder@bhel.in
INE029A01011,Bharat Petroleum Corporation Limited,ssc@bharatpetroleum.in
INE350H01032,B. L. Kashyap and Sons Limited,pushpak@blkashyap.com
INE878I01014,Bafna Pharmaceuticals Limited,cs@bafnapharma.com
INE116D01028,B.A.G Films and Media Limited,info@bagnetwork.in
INE917I01010,Bajaj Auto Limited,investors@bajajauto.co.in
INE933K01021,Bajaj Corp Limited,complianceofficer@bajajcorp.com
INE193E01025,Bajaj Electricals Limited,legal@bajajelectricals.com
INE296A01016,Bajaj Finance Limited,investor.service@bajajfinserv.in
INE918I01018,Bajaj Finserv Limited,investors@bajajfinserve.in
INE306A01021,Bajaj Hindusthan Limited,investor.complaints@bajajhindusthan.com
INE118A01012,Bajaj Holdings & Investment Limited,investors@bhil.in
INE083D01012,Bal Pharma Limited,investor@balpharma.com
INE050E01027,Balaji Amines Limited,cs@balajiamines.com
INE794B01026,Balaji Telefilms Limited,investor@balajitelefilms.com
INE787D01026,Balkrishna Industries Limited,shares@bkt-tires.com
INE294A01037,Ballarpur Industries Limited,sectdiv@bilt.com
INE164A01016,Balmer Lawrie & Company Limited,blinvestors@balmerlawrie.com
INE119A01028,Balrampur Chini Mills Limited,investorgrievences@bcml.in
INE655B01011,Banaras Beads Limited,investor@bblinvestor.com
INE213C01025,Banco Products (I) Limited,investor@bancoindia.com
INE863I01016,Bang Overseas Limited,bol@banggroup.com
INE028A01013,Bank of Baroda,investorservices@bankofbaroda.com
INE084A01016,Bank of India,headoffice.share@bankofindia.co.in
INE457A01014,Bank of Maharashtra,investor_services@mahabank.co.in
INE186H01014,Bannari Amman Spinning Mills Limited,shares@bannarimills.com
INE459A01010,Bannari Amman Sugars Limited,shares@bannari.com
INE629D01012,Banswara Syntex Limited,secbsw@banswarafabrics.com
INE139I01011,Barak Valley Cements Limited,cs@barakcement.com
INE855F01034,Bartronics India Limited,info@bartronicsindia.com
INE373A01013,BASF India Limited,manohar.kamath@basf.com
INE176A01010,Bata India Limited,maloy.gupta@bata.com
INE462A01022,Bayer Cropscience Limited,investor.relations@bayer.com
INE520H01014,Beardsell Limited,ho@beardsell.co.in 
INE844K01012,Bedmutha Industries Limited,cs@bedmutha.com
INE258A01016,BEML Limited,office@cs.beml.co.in
INE463A01020,Berger Paints (I) Limited,consumerfeedback@bergerindia.com
INE287A01015,Best & Crompton Engg. Limited,investorsgrievance@bestcrompton.com
INE878K01010,BF Investment Limited,bfinvestment@vsnl.net
INE243D01012,BF Utilities Limited,bfutilitiesltd@vsnl.net
INE661I01014,BGR Energy Systems Limited,Investors@bgrenergy.com
INE458B01028,Bhagyanagar India Limited,investorservices_bil@surana.com
INE922A01025,Bhansali Engineering Polymers Limited,investors@bhansaliabs.com
INE464A01028,Bharat Bijlee Limited,investorcare@bharatbijlee.com
INE263A01016,Bharat Electronics Limited,secretary@bel.co.in
INE465A01025,Bharat Forge Limited,secretarial@bharatforge.com
INE561C01019,Bharat Gears Limited,investor@bglindia.com
INE673G01013,Bharati Shipyard Limited,vgkrishna@bharatishipyard.com
INE224M01013,Bharatiya Global Infomedia Limited,kumar.pushkar@bgilinfo.com
INE397D01024,Bharti Airtel Limited,compliance.officer@bharti.in
INE121J01017,Bharti Infratel Limited,compliance.officer@bharti-infratel.in
INE828A01016,Bhartiya International Limited,shares@bhartiya.com
INE824B01021,Bhushan Steel Limited,investorservices@bhushansteel.com
INE607L01029,Bil Energy Systems Limited,investors@bilenergy.com
INE952D01018,Bilpower  Limited,investors@bilpower.com
INE469A01019,Bimetal Bearings Limited,vidhyashankar@bimite.co.in
INE071A01013,Binani Industries Limited,krishna.saraf@binani.net
INE376G01013,Biocon Limited,co.secretary@biocon.com
INE340A01012,Birla Corporation Limited,investorsgrievance@birlacorp.com
INE655I01024,Birla Cotsyn (India) Limited,complianceofficer@birlacotsyn.com
INE800A01015,Birla Ericsson Optical Limited,investorservices@birlacables.com
INE224B01024,Birla Power Solutions Limited,nagesh@yashbirlagroup.com
INE791A01024,BLB Limited,investorcomplaint@blblimited.com
INE416D01022,Bliss GVS Pharma Limited,vipul49@hotmail.com
INE472B01011,Blue Coast Hotels Limited,"info@bluecoast.in, prakash.prusty@bluecoast.in"
INE657B01025,Blue Chip India Limited,info@bluechipind.net
INE233B01017,Blue Dart Express Limited,tusharg@bluedart.com
INE472A01039,Blue Star Limited,sangameshwar@bluestarindia.com
INE504B01011,Blue Star Infotech Limited,investor.relations@bsil.com
INE338D01028,Bodal Chemicals Limited,secretarial@bodal.com
INE104F01011,Bodhtree Consulting Limited,cosecy@bodhtree.com
INE050A01025,Bombay Burmah Trading Corporation Limited,nhdatanwala@bbtcl.com
INE032A01023,Bombay Dyeing & Mfg Company Limited,Grievance_Redressal_cell@bombaydyeing.com
INE589G01011,Bombay Rayon Fashions Limited,investors@bombayrayon.com
INE323A01026,Bosch Limited,investor@in.bosch.com
INE110A01019,BPL Limited,investor@bpl.in
INE317J01011,Brandhouse Retails Limited,bhrlinvestors@sknl.co.in
INE791I01019,Brigade Enterprises Limited,investors@brigadegroup.com
INE216A01022,Britannia Industries Limited,investorrelations@britindia.com
INE698H01018,Broadcast Initiatives Limited,investorservices@liveindia.tv
INE650L01011,Brooks Laboratories Limited,cs@brookslabs.net
INE043K01029,BS LIMITED,investors@bsgroup.in
INE395A01016,BSEL Infrastructure Realty Limited,"investorgrievance@bsel, complianceofficer@bsel.com"
INE594B01012,BSL Limited,accounts@bslsuitings.com
INE817H01014,Burnpur Cement Limited,investors@burnpurcement.com
INE295F01017,Butterfly Gandhimathi Appliances Limited,edcs@butterflyindia.com
INE874H01015,C & C Constructions Limited,dnathani@candcinfrastructure.com
INE429I01024,Consolidated Construction Consortium Limited,investors@ccclindia.com
INE378J01013,C. Mahendra Exports Limited,"bkc@cmahendra.com, cs.ashish@cmahendra.com"
INE178A01016,Chennai Petroleum Corporation Limited,sld@cpcl.co.in
INE010B01019,Cadila Healthcare Limited,investor.grievance@zyduscadila.com
INE910H01017,Cairn India Limited,neerja.sharma@cairnindia.com
INE526B01014,California Software Company Limited,"investor@calsoftgroup.com, investor@calsoft.co.in"
INE627H01017,Cambridge Technology Enterprises Limited,investors@ctepl.com
INE052I01024,Camlin Fine Sciences Limited,secretarial@camlinfs.com
INE477A01012,Can Fin Homes Limited,sathyapraksh@canfinhomes.com
INE476A01014,Canara Bank,hosecretarial@canarabank.com
INE068L01016,Cantabil Retail India Limited,investors@cantabilinternational.com
INE688I01017,Capital First Limited,secretarial@capfirst.com
INE475E01018,Caplin Point Laboratories Limited,investor@caplinpoint.net
INE180C01018,Capri Global Capital Limited,investor.relation@cgcl.co.in
INE120A01034,Carborundum Universal Limited,investorservices@cumi.murugappa.com
INE521J01018,Career Point Limited,"investors@cpil.in, info@careerpointgroup.com"
INE172A01027,Castrol India Limited,investorrelations.india@castrol.com
INE421D01022,CCL Products (India) Limited,secretarial@cclproducts.com
INE482A01020,CEAT Limited,investors@ceat.in
INE185H01016,Celebrity Fashions Limited,investorservices@celebritygroup.com
INE221I01017,Celestial Biolabs Limited,cs@celestialbiolabs.com
INE483A01010,Central Bank of India,investors@centralbank.co.in
INE320B01020,Centum Electronics Limited,ramua@centumelectronics.com
INE485A01015,Century Enka Limited,investor@centuryenka.com
INE281A01026,Century Extrusions Limited,secretary@centuryextrusions.com
INE348B01021,Century Plyboards (India) Limited,sundeepj@centuryply.com
INE055A01016,Century Textiles & Industries Limited,investorrelations@centurytext.com
INE739E01017,Cera Sanitaryware Limited,nk_acharya@cera-india.com
INE345B01019,Cerebra Integrated Technologies Limited,investors@cerebracomputers.com
INE486A01013,CESC Limited,secretarial@rp-sp.in
INE085A01013,Chambal Fertilizers & Chemicals Limited,ms.rathore@chambal.in
INE479E01028,Chemfab Alkalis Limited,chemfabalkalis@drraoholdings.com
INE217C01018,Cheslind Textiles Limited,companysecretary@cheslind.com
INE121A01016,Cholamandalam Investment and Finance Company Limited,investors@chola.murugappa.com
INE662C01015,Chromatic India Limited,chromatic@mtnl.net.in
INE672K01025,CIL Nova Petrochemicals Limited,romin_shah@chiripalgroup.com
INE184C01028,Cimmco Limited,corp@cimmco.biz
INE704H01022,Cineline India Limited,investor@cinemaxproperties.com
INE039B01026,Cinevista Limited,helpdesk@cinevistaas.com
INE059A01026,Cipla Limited,cosecretary@cipla.com
INE491A01021,City Union Bank Limited,investorsgrievances@cityunionbank.in
INE492A01029,Clariant Chemicals (India) Limited,clariant@shareproservices.com
INE987C01024,Classic Diamonds (India) Limited,compsec@classicdiamondsindia.com
INE779B01019,Clutch Auto Limited,cs@clutchauto.com
INE314A01017,CMC Limited,investor.relations@cmcltd.com
INE522F01014,Coal India Limited,complianceofficer@coalindia.in
INE259A01022,Colgate Palmolive (India) Limited,investor_grievance@colpal.com
INE209L01016,Commercial Engineers & Body Builders Co Limited,cs@cebbco.com
INE070C01029,Compuage Infocom Limited,investors.relations@compuageindia.com
INE453B01029,Compucom Software Limited,investor@compucom.co.in
INE025A01027,Consolidated Finvest & Holdings Limited,compsec_photo@jindalgroup.com
INE111A01017,Container Corporation of India Limited,investorrelations@concorindia.com
INE792I01017,Cords Cable Industries Limited,ipo@cordscable.com
INE247G01024,CORE Education & Technologies Limited,investors@core-edutech.com
INE312J01012,Coromandel Engineering Company Limited,ceinvestorservices@cec.murugappa.com
INE169A01031,Coromandel International Limited,investorsgrievance@coromandel.murugappa.com
INE112A01015,Corporation Bank,isd@corpbank.co.in
INE757A01017,Cosmo Films Limited,investor.relations@cosmofilms.com
INE695B01025,Country Condo's Limited,countrycondos.inv.comp@gmail.com
INE008I01026,Cox & Kings Limited,investors@coxandkings.com
INE230B01021,Creative Eye Limited,investorscel@yahoo.com
INE752H01013,Credit Analysis And Research Limited,investor.relations@careratings.com
INE774A01012,Crest Animation Studios Limited,companysecretary@crestindia.com
INE007A01025,CRISIL Limited,investors@crisil.com
INE067A01029,Crompton  Greaves Limited,investorservices@cgglobal.com
INE144D01012,Cubex Tubings Limited,cscubextubings@gmail.com
INE298A01020,Cummins India Limited,pradip.s.phansalkar@cummins.com
INE117B01012,Cura Technologies Limited,secretarial@curatechnologies.co.in
INE278G01037,Cyber Media (India) Limited,anoops@cybermedia.co.in
INE214A01019,Cybertech Systems And Software Limited,cssl.investors@cybertech.com
INE136B01020,Cyient Limited,company.secretary@infotech-enterprises.com
INE950I01011,D.B.Corp Limited,dbcs@dainikbhaskargroup.com
INE879I01012,D B Realty Limited,investors@dbg.co.in
INE891A01014,DS Kulkarni Developers Limited,secretarial@dskdl.com
INE016A01026,Dabur India Limited,investors@dabur.com
INE439L01019,Dalmia Bharat Limited,bisaria.nidhi@dalmiabharat.com
INE495A01022,Dalmia Bharat Sugar and Industries Limited,v.sundararaj@dalmiacement.com
INE200F01017,Dalmia Refractories Limited,snccil@dalmiarf.com
INE365B01017,Datamatics Global Services Limited,depository@dfssl.com
INE921B01025,DB (International) Stock Brokers Limited,investors@dbonline.in
INE503A01015,DCB BANK LIMITED,investorgrievance@dcbbank.com
INE498A01018,DCM  Limited,investors@dcmds.co.in
INE499A01024,DCM Shriram Limited,ykgupta@dcmshriram.com
INE500A01029,DCW Limited,"chital@dcwltd.com, investors@dcm.in"
INE583C01013,Deccan Cements Limited,secretarial@deccancements.com
INE172I01012,Decolight Ceramics Limited,Decolight2012@yahoo.com
INE677H01012,Deep Industries Limited,cs@deepindustries.com
INE501A01019,Deepak Fertilizers and Petrochemicals Corporation Limited,investorgrievance@dfcl.com
INE288B01029,Deepak Nitrite Limited,investor@deepaknitrite.com
INE124G01033,Delta Corp Limited,secretarial@deltin.com
INE393A01011,Delta Magnets Limited,secretarial@deltamagnets.com
INE947J01015,Den Networks Limited,investorgrievance@denonline.in
INE077A01010,Dena Bank,investorgrievance@denabank.co.in
INE202B01012,Dewan Housing Finance Corporation Limited,secretarial@dhfl.com
INE041A01016,Dhampur Sugar Mills Limited,"arhantjain@dhampur.com, investordesk@dhampur.com"
INE680A01011,Dhanlaxmi Bank Limited,investors@dhanbank.co.in
INE435G01025,Dhanuka Agritech Limited,investors@dhanuka.com
INE988C01014,Dharani Sugars & Chemicals Limited,secretarial@dharanisugars-pgp.com
INE320L01011,Dhunseri Investments Limited,rm@dhunseritea.com
INE477B01010,Dhunseri Petrochem & Tea Limited,investors@aspetindia.com
INE989C01012,Diamond Power Infra Ltd,"shares@dicabs.com, cs@dicabs.com"
INE303A01010,DIC India Limited,investors@dic.co.in
INE471A01023,Digjam Limited,investors@digjam.co.in
INE131C01011,Disa India Limited,investor.relations@noricangroup.com
INE836F01026,Dish TV India Limited,investor@dishtv.in
INE353G01020,Dishman Pharmaceuticals and Chemicals Limited,grievance@dishmangroup.com
INE361B01024,Divi's Laboratories Limited,cs@divislaboratories.com
INE271C01023,DLF Limited,investor-relations@dlf.in
INE250K01012,D-Link (India) Limited,shares@dlink.co.in
INE920A01011,Dolphin Offshore Enterprises (India) Limited,investors@dolphinoffshore.com
INE668D01028,Donear Industries Limited,info@donear.com
INE656K01010,DQ Entertainment (International) Limited,sindhu@dqentertainment.com
INE089A01023,Dr. Reddy's Laboratories Limited,shares@drreddys.com
INE928K01013,Dr. Datson's Labs Limited,cs@drdatsons.com
INE506A01018,Dredging Corporation of India Limited,sreekanth@dci.gov.in
INE508A01022,Duncans Industries Limited,dil_secretarial@duncans-tea.com
INE366A01033,Dwarikesh Sugar Industries Limited,investors@dwarikesh.com
INE417B01040,Dynacons Systems & Solutions Limited,investor@dynacons.com
INE741L01018,Dynacons Technologies Limited,investor@dtlindia.com
INE221B01012,Dynamatic Technologies Limited,investor.relations@dynamatics.net
INE268C01029,Easun Reyrolle Limited,hosur@easunreyrolle.com
INE738I01010,eClerx Services Limited,investor@eclerx.com
INE532F01054,Edelweiss Financial Services Limited,efsl.shareholders@edelweissfin.com
INE216H01027,Educomp Solutions Limited,investor.services@educomp.com
INE066A01013,Eicher Motors Limited,investors@eicher.in
INE126A01031,EID Parry India Limited,investorservices@parry.murugappa.com
INE230A01023,EIH Limited,invcom@oberoigroup.com
INE276C01014,EIH Associated Hotels Limited,invcom@tridenthotels.com
INE158B01016,Eimco Elecon (India) Limited,ndshelat@eimco.elecon.com
INE158F01017,EL Forge Limited,edf@elforge.com
INE975A01015,Elder Pharmaceuticals Limited,s.p.date@elderindia.com
INE205B01023,Elecon Engineering Company Limited,pmshukla@elecon.com
INE086A01029,Electrosteel Castings Limited,kavita.bhavsar@electrosteel.com
INE481K01013,Electrosteel Steels Limited,eil.investors@electrosteel.com
INE822G01016,Electrotherm (India) Limited,sec@electrotherm.com
INE285A01027,Elgi Equipments Limited,investor@elgi.com
INE819L01012,Elgi Rubber Company Limited,shankarc@elgirubber.com
INE033C01019,Elnet Technologies Limited,elnet@md4.vsnl.net.in
INE548C01032,Emami Limited,investors@emamigroup.com
INE778K01012,Emami Infrastructure Limited,emamiinfra@emamigroup.com
INE078A01026,Emco Limited,investorgrievance@emcoindia.com
INE296H01011,Emkay Global Financial Services Limited,compliance@emkayglobal.com
INE753K01015,Emmbi Industries Limited,kaushal.patvi@emmbi.com
INE180G01019,Empee Distilleries Limited,info@empeegroup.co.in
INE928B01012,Empee Sugars and Chemicals Limited,investor.empeesugars@empeegroup.co.in
INE306C01019,Energy Development Company Limited,secretarial@edclgroup.com
INE510A01028,Engineers India Limited,company.secretary@eil.co.in
INE265F01028,Entertainment Network (India) Limited,mehul.shah@timesgroup.com
INE826A01028,Entegra Limited,investor@entegra.co.in
INE076H01025,Eon Electric Limited,investors@eonelectric.com
INE039E01020,Era Infra Engineering Limited,rajiv.k@eragroup.in
INE416L01017,Eros International Media Limited,compliance.officer@erosintl.com
INE284A01012,Esab India Limited,venkatakrishnan.s@esab.co.in
INE042A01014,Escorts Limited,"corpsect@ndb.vsnl.net.in, escoshare@escorts.co.in"
INE962C01027,Eastern Silk Industries Limited,cs@easternsilk.com
INE825H01017,Ess Dee Aluminium Limited,investorservice@essdee.in
INE011A01019,Essar Oil Limited,eolinvestors@essar.com
INE282A01024,Essar Ports Limited,epl.secretarial@essar.com
INE122M01019,Essar Shipping Limited,esl.secretarial@essar.com
INE255A01020,Essel Propack Limited,investor.grievance@ep.esselgroup.com
INE778B01029,Ester Industries Limited,shares.deptt@ester.in
INE649H01011,Euro Ceramics Limited,investors@eurovitrified.com
INE063J01011,Euro Multivision Limited,info@euromultivision.com
INE022C01012,Eurotex Industries and Exports Limited,companysecretary@eurotexgroup.com
INE128A01029,Eveready Industries India Limited,tehnazpunwani@eveready.co.in
INE295A01018,Everest Industries Limited,compofficer@everestind.com
INE184H01027,Everest Kanto Cylinder Limited,investors@ekc.in
INE678H01010,Everonn Education Limited,vijayanand@everonn.com
INE223G01017,Excel Crop Care Limited,parind.badshah@excelcropcare.com
INE369A01029,Excel Industries Limited,grievance@excelind.com
INE688J01015,Excel Infoways Limited,cs@excel-infoways.com
INE302A01020,Exide Industries Limited,cosec@exide.co.in
INE513A01014,FAG Bearings India Limited,raj.sarraf@schaeffler.com
INE890I01035,Farmax India Limited,cs@farmax.co.in
INE512B01022,FCS Software Solutions Limited,investors@fcsltd.com
INE258B01022,FDC Limited,investors@fdcindia.com
INE249C01011,Fedders Lloyd Corporation Limited,investor.relations@fedderslloyd.com
INE171A01029,The Federal Bank  Limited,secretarial@federalbank.co.in
INE529A01010,Federal-Mogul Goetze (India) Limited.,investor.grievance@federalmogul.com
INE737H01014,Fiem Industries Limited,investor@fiemindustries.com
INE816B01019,Filatex India Limited,shares@filatex.com
INE111B01023,Financial Technologies (India) Limited,hariraj.chouhan@ftindia.com
INE235A01022,Finolex Cables Limited,investors@finolex.com
INE183A01016,Finolex Industries Limited,investors@finolexind.com
INE492B01019,First Leasing Company of India Limited,investors@flcindia.com
INE315J01015,First Winner Industries Limited,cs@firstwinnerind.com
INE684F01012,Firstsource Solutions Limited,complianceofficer@firstsource.com
INE060J01017,Flexituff International Limited,investors@flexituff.com
INE061F01013,Fortis Healthcare Limited,secretarial@fortishealthcare.com
INE519A01011,Foseco India Limited,r.umesh@foseco.com
INE360L01017,Future Market Networks Limited,anil.cherian@futuregrop.in
INE220J01025,Future Consumer Enterprise Limited,investor.care@futureventures.in
INE452O01016,Future Lifestyle Fashions Limited,investorrelations@futurelifestyle.in
IN9623B01058,Future Retail Limited,deepak.tanna@futuregroup.in
